"village_name","village_name_pa","tehsil","district","district_id","tehsil_id","vid","lon","lat"
"Darbahn","ਦਰਬਾਹਨ","Dhar Kalan","Gurdaspur","0301","03010001","00000100","75.8533766750672","32.4798186249552"
"Darkua Bangla","ਦਰਕੂਆ ਬੰਗਲਾ","Dhar Kalan","Gurdaspur","0301","03010001","00000200","75.8391398298143","32.4796671005444"
"Sarti","ਸਾਰਟੀ","Dhar Kalan","Gurdaspur","0301","03010001","00000300","75.8381917829603","32.4658920407113"
"Dukhaniyali","ਦੁਖਨਿਆਲੀ","Dhar Kalan","Gurdaspur","0301","03010001","00000400","75.8683948645541","32.4608322842047"
"Ghar","ਘੜ","Dhar Kalan","Gurdaspur","0301","03010001","00000500","75.8850404340158","32.4491826535298"
"Barsudhal","ਬਾੜਸੁਡਾਲ","Dhar Kalan","Gurdaspur","0301","03010001","00000600","75.8624692997554","32.4459381728962"
"Dunera","ਦੁਨੇਰਾ","Dhar Kalan","Gurdaspur","0301","03010001","00000700","75.8976220207255","32.4261965789398"
"Bhamlada","ਭਮਲਾਦਾ","Dhar Kalan","Gurdaspur","0301","03010001","00000800","75.8657556039976","32.4311989805031"
"Nalloh","ਨਲੋਹ","Dhar Kalan","Gurdaspur","0301","03010001","00000900","75.8499037833091","32.4269712939171"
"Phangota","ਫੰਗੋਤਾ","Dhar Kalan","Gurdaspur","0301","03010001","00001000","75.8159661941351","32.4524855368803"
"Dhar Khurd","ਧਾਰ ਖੁਰਦ","Dhar Kalan","Gurdaspur","0301","03010001","00001100","75.8408277627679","32.4141721775054"
"Phagli  Mama","ਫਾਗਲੀ ਮਾਮਾ","Dhar Kalan","Gurdaspur","0301","03010001","00001200","75.8630874262694","32.4060403909874"
"Lanjera","ਲੰਜੇਰਾ","Dhar Kalan","Gurdaspur","0301","03010001","00001300","75.9012639192840","32.4024317969606"
"Lohrun","ਲੋਹਰੂਨ","Dhar Kalan","Gurdaspur","0301","03010001","00001400","75.9217402320071","32.3963190540132"
"Bakhatpur","ਬਖਤਪੁਰ","Dhar Kalan","Gurdaspur","0301","03010001","00001500","75.9094172364245","32.3841373115310"
"Rohg","ਰੋਘ","Dhar Kalan","Gurdaspur","0301","03010001","00001600","75.8815526413512","32.3859722337270"
"Bhanguri","ਭੰਗੂੜੀ","Dhar Kalan","Gurdaspur","0301","03010001","00001700","75.8606860681023","32.3773528201102"
"Jalahar","ਜਲਾਹੜ","Dhar Kalan","Gurdaspur","0301","03010001","00001800","75.8379879574523","32.3919228729403"
"Dhar Kalan","ਧਾਰ ਕਲਾਂ","Dhar Kalan","Gurdaspur","0301","03010001","00001900","75.8211954700138","32.4121680468924"
"Hardo Saran","ਹਰਦੋ ਸਰਨ","Dhar Kalan","Gurdaspur","0301","03010001","00002000","75.8060386326892","32.4283232513455"
"Chamrour","ਚਮਕੋਰ","Dhar Kalan","Gurdaspur","0301","03010001","00002100","75.7993119830877","32.4359739012392"
"Thara Uparla","ਥੜਾ ਉਪਰਾਲਾ","Dhar Kalan","Gurdaspur","0301","03010001","00002200","75.7767263770173","32.4281115240116"
"Thara Jhikla","ਥੜਾ ਝਿਕਲਾ","Dhar Kalan","Gurdaspur","0301","03010001","00002300","75.7675271712569","32.4023791365360"
"Narainpur","ਨਰੈਣਪੁਰ","Dhar Kalan","Gurdaspur","0301","03010001","00002400","75.8250743155814","32.3495687426867"
